schema:PerformingGroup	rdfs:subClassOf	schema:Organization	.
schema:State	rdfs:subClassOf	schema:AdministrativeArea	.
schema:Car	rdfs:subClassOf	schema:Vehicle	.
schema:Waterfall	rdfs:subClassOf	schema:BodyOfWater	.
schema:Synagogue	rdfs:subClassOf	schema:PlaceOfWorship	.
schema:NGO	rdfs:subClassOf	schema:Organization	.
schema:Vehicle	rdfs:subClassOf	schema:Product	.
schema:Airport	rdfs:subClassOf	schema:CivicStructure	.
schema:CatholicChurch	rdfs:subClassOf	schema:Church	.
schema:Person	rdfs:subClassOf	schema:Thing	.
schema:SoftwareApplication	rdfs:subClassOf	schema:CreativeWork	.
schema:Drawing	rdfs:subClassOf	schema:CreativeWork	.
schema:RiverBodyOfWater	rdfs:subClassOf	schema:BodyOfWater	.
schema:Organization	rdfs:subClassOf	schema:Thing	.
schema:Mountain	rdfs:subClassOf	schema:Landform	.
schema:BuddhistTemple	rdfs:subClassOf	schema:PlaceOfWorship	.
schema:Language	rdfs:subClassOf	schema:Intangible	.
schema:City	rdfs:subClassOf	schema:AdministrativeArea	.
schema:BioChemEntity	rdfs:subClassOf	schema:Thing	.
schema:GovernmentOrganization	rdfs:subClassOf	schema:Organization	.
schema:DanceGroup	rdfs:subClassOf	schema:PerformingGroup	.
schema:Play	rdfs:subClassOf	schema:CreativeWork	.
schema:WorkersUnion	rdfs:subClassOf	schema:Organization	.
schema:BodyOfWater	rdfs:subClassOf	schema:Landform	.
yago:Organism	rdfs:subClassOf	schema:Thing	.
schema:Continent	rdfs:subClassOf	schema:Landform	.
schema:BroadcastChannel	rdfs:subClassOf	schema:Intangible	.
schema:Country	rdfs:subClassOf	schema:AdministrativeArea	.
schema:PerformingArtsTheater	rdfs:subClassOf	schema:CivicStructure	.
